Model:GBQ L-05SLA, Latitude:31.823635,Longtitude:117.118226,SeaHeight:128,NorthAngle:0,LightBeamNum:-9999,Gate:100,SumShots:20000,PulseWidth:300,CNR:2,RangeResolution:30,ScanMode:PPI,From:0,To:350,Step:10,FixAngle:2,StartRange:15
Date_time,Temperature,Humidity,Pressure,Azimuth,Pitch,Distance,HWindSpeed(m/s),HWindDirection(бу),VWindSpeed (m/s)
2026/09/08 19:22:00,-9999,-9999,-9999,10,2,45,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,10,2,75,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,10,2,105,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,10,2,135,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,10,2,165,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,10,2,195,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,10,2,225,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,10,2,255,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,10,2,285,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,10,2,315,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,10,2,345,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,10,2,375,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,10,2,405,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,10,2,435,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,10,2,465,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,10,2,495,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,10,2,525,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,10,2,555,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,10,2,585,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,10,2,615,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,10,2,645,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,10,2,675,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,10,2,705,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,10,2,735,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,10,2,765,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,10,2,795,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,10,2,825,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,10,2,855,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,10,2,885,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,10,2,915,-9999,-9999,-9999
